id,category,name,price,emoji,tag,description,img
1,Live Fish,Halfmoon Betta (Male),1500,🐠,Popular,"Show-quality halfmoon betta in vibrant colors — Beauty of Betta collection.",
2,Live Fish,Plakat Betta (Male),1200,🐟,,"Hardy, active plakat betta. Great for beginners and breeders.",
3,Live Fish,Oranda Goldfish (Pair),2500,🐡,,"Classic wen-capped orandas, healthy and feeding well. Approx 2.5–3 inch.",
4,Live Fish,Fancy Guppy (Trio),900,🐠,,"1 male + 2 females, assorted premium strains.",
5,Aquariums,2ft Aquarium Set,8500,🛁,,"24×12×15 inch glass tank with hood, light and gravel.",
6,Aquariums,3ft Aquarium Set,15500,🛁,Popular,"36 inch tank with stand option, hood and LED light.",
7,Equipment,Internal Filter,1400,⚙️,Restocked,"Multi-function internal filter with spray bar.",
8,Equipment,Aquarium Heater 100W,1100,🌡️,,"Auto-thermostat heater — essential in winter.",
9,Plants & Decor,Live Plant Bundle,1200,🌿,,"5 assorted easy live plants.",
10,Food & Care,Premium Fish Food 100g,550,🍤,,"High-protein floating pellets.",
